岗位,命中关键词,地点,发布时间,URL,JD
企业微信-产品经理-AI方向,AI,广州,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=1880770535693004800&language=zh-cn,"1.负责企业微信内的基础模块和AI功能的相关产品策划工作，具体包括但不限于基础功能的策略制定、功能设计及推动上线；
2.主要负责的功能模块是企业微信AI相关功能、主框架、基础IM体验、基础管理体验等；
3.持续了解企业通讯工具、协同工具、企业微信与AI结合的需求和体验提升。
1.对产品设计有饱满热情，在功能策划上有一定经验和能力；
2.对AI有一定经验或者知识积累，且有结合用户视角理解的能力；
3.善于观察和分析，善于发现关键问题，分清主次矛盾，具备很好的逻辑抽象能力，和框架系统思考的能力；
4.有机会洞察能力，面对产品增长的瓶颈，有意愿突破难解的问题，寻找可能的出口尝试。"
WeGame-高级产品经理-AI产品应用,AI、Agent,深圳,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=2018950192145006592&language=zh-cn,"1.AI场景挖掘与定义： 深入洞察 PC 玩家在游戏全生命周期（找游戏、玩游戏、社区交流）中的痛点，定义 WeGame AI 助手及 AI 原生功能的应用场景；
2.产品设计与落地： 负责从 0 到 1 推动 AI 功能的设计与落地。将 LLM（大语言模型）、多模态理解等前沿技术转化为“游戏助手”、“智能社区”等具体的交互体验；
3.智能化演进驱动： 负责平台智能推荐、自动化工具及 AI 交互系统的迭代，推动 WeGame 从传统的“游戏启动器”向“智能游戏伙伴”跃进；
4.跨部门协同： 与算法团队、工程团队及游戏运营团队紧密配合，把控技术实现的可能性与用户体验的平衡点，确保 AI 功能的高质量交付；
5.效果评估与优化： 建立 AI 产品的量化评价体系，通过数据分析与用户反馈持续打磨模型效果，提升用户在 AI 场景下的留存与活跃。
1.2 年及以上互联网产品经验，有 AI 产品（如对话机器人、搜索推荐、内容创作工具）从业背景者优先；
2.对大模型（LLM）底层逻辑、Agent 框架、Prompt Engineering 有深度理解，能够与算法工程师进行无障碍技术交流；
3.热爱游戏，愿意长期在游戏行业深耕；
4.有较强的抗压与自驱动，面对 AI 这一不确定性领域，具备极强的探索精神和结果导向意识，能在快速迭代的环境中拿结果；
5.逻辑思考优秀，重视用户体验。"
AI协作工具产品高级产品经理,AI、Agent,深圳,2026年07月08日,https://careers.tencent.com/jobdesc.html?postId=2061001589497442304&language=zh-cn,"1.统筹新一代腾讯AI协作工具产品规划与 AI 战略落地：对用户规模、AI 功能渗透率负责，制定产品策略与版本节奏；
2.核心场景设计：结合 LLM、Agent、RAG、多模态内容理解等 AI 能力，围绕云存储、文件分享、开放生态等核心场景输出需求方案与功能设计；
3.构建上下文驱动的智能体验：打造跨应用/跨文件/跨场景的语义检索、对话式文件管理、智能推荐、知识沉淀与召回，把网盘从""存储工具""升级为""个人 AI 知识中枢""；
4.搭建开放生态与内容理解体系：对接第三方 AI 能力、Agent、插件、ISV 开发者，输出平台化接入机制；推动文档/图片/音视频等内容理解能力沉淀为网盘基础设施。
1.本科及以上，2年以上互联网产品经验，AI工具类或内容/知识管理类产品背景优先；
2.有 AI 产品落地经验：熟悉 LLM、Agent、RAG、Prompt 工程或多模态内容理解，能独立完成 AI 功能从 0 到 1 的策划与落地；
3.有以下项目经验之一：（1）基于上下文的对话 / 推荐 / 搜索类产品；（2）非结构化内容（文档/图片/音视频）的理解、摘要、问答、生成类产品；（3）开放平台、插件生态、Agent / MCP 类生态产品答、生成类产品；
4.用户洞察与产品策划能力强，能独立完成需求分析到落地的全流程；
5.数据敏感度高，逻辑清晰，兼具产品与运营思维，有跨部门协同落地经验。"
微信-产品经理-AI方向,AI,广州,2026年07月07日,https://careers.tencent.com/jobdesc.html?postId=2037392058448248832&language=zh-cn,"1.从真实场景下的用户需求出发，负责探索微信AI应用场景并推动落地；
2.跟进并理解大模型等相关技术发展，深刻理解模型进化带来的改变，在产品的设计中充分应用模型能力。
1.对 AI 在微信生态下的独特价值有想法，有思考，有想象力；
2.强烈的好奇心和探索欲，极强的执行力和推动力；
3.积极主动，深入思考，实事求是，诚恳谦逊；
4.有 AI 助手方向算法/策略侧工作经历加分。"
元宝-大模型策略产品经理（AIGC方向）,AI,深圳,2026年07月06日,https://careers.tencent.com/jobdesc.html?postId=2021054127102132224&language=zh-cn,"1.端到端效果负责： 全面负责元宝各核心场景下 AIGC 的端到端效果优化，定义并持续提升生成内容的准确性、丰富度及逻辑性；
2.策略驱动与协同： 深入业务细节，通过精细化的数据分析定位模型短板；与算法、工程及策划团队紧密协作，制定针对性的模型训练和Prompt 优化方案，确保业务目标达成；
3.能力抽象与演进： 实时洞察全球 AIGC 领域动态，能够快速识别高价值技术方向，将其抽象为具体的能力维度和评估标准，驱动模型效果迭代进化；
4.闭环体系建设： 搭建并完善 AIGC 效果的评估体系（包括自动化评测与人工评测），建立高效的数据回流闭环，确保策略迭代的有据可依。
1.背景要求： 具备 1 年以上策略产品或 AI 相关产品经验；
2.策略功底： 对生成模型底层原理有深入理解，熟悉常见的 Prompt Engineering、模型评估方法及数据标注逻辑；
3.数据敏锐度： 具备极强的数据分析能力，能从复杂数据中抽丝剥茧发现核心问题；
4.落地执行： 具备优秀的跨团队沟通和项目管理能力，能平衡算法边界与业务需求，推动复杂策略的高效落地；
5.行业洞察： 是 AIGC 的重度玩家，对领域的最新动态保持高度敏感，能快速理解新技术并评估其商业价值；
6.素质模型： 具备极强的逻辑思维能力、抗压能力以及在模糊环境下寻找确定性方案的自驱动力。"
元宝-大模型策略产品经理（AIGC方向）,AI,北京,2026年07月06日,https://careers.tencent.com/jobdesc.html?postId=2021054129127981056&language=zh-cn,"1.端到端效果负责： 全面负责元宝各核心场景下 AIGC 的端到端效果优化，定义并持续提升生成内容的准确性、丰富度及逻辑性；
2.策略驱动与协同： 深入业务细节，通过精细化的数据分析定位模型短板；与算法、工程及策划团队紧密协作，制定针对性的模型训练和Prompt 优化方案，确保业务目标达成；
3.能力抽象与演进： 实时洞察全球 AIGC 领域动态，能够快速识别高价值技术方向，将其抽象为具体的能力维度和评估标准，驱动模型效果迭代进化；
4.闭环体系建设： 搭建并完善 AIGC 效果的评估体系（包括自动化评测与人工评测），建立高效的数据回流闭环，确保策略迭代的有据可依。
1.背景要求： 具备 1 年以上策略产品或 AI 相关产品经验；
2.策略功底： 对生成模型底层原理有深入理解，熟悉常见的 Prompt Engineering、模型评估方法及数据标注逻辑；
3.数据敏锐度： 具备极强的数据分析能力，能从复杂数据中抽丝剥茧发现核心问题；
4.落地执行： 具备优秀的跨团队沟通和项目管理能力，能平衡算法边界与业务需求，推动复杂策略的高效落地；
5.行业洞察： 是 AIGC 的重度玩家，对领域的最新动态保持高度敏感，能快速理解新技术并评估其商业价值；
6.素质模型： 具备极强的逻辑思维能力、抗压能力以及在模糊环境下寻找确定性方案的自驱动力。"
腾讯会议-AI产品经理-企业应用方向,AI、Agent,深圳,2026年07月03日,https://careers.tencent.com/jobdesc.html?postId=2036620119203020800&language=zh-cn,"1.负责腾讯会议内 AI 在企业场景相关的产品策划工作；
2.结合AI技术，搭建腾讯会议企业管理体系、身份体系，使Agent在企业内便捷、安全的使用；
3.与腾讯内部SaaS产品线合作，整合面向AI的开放能力，形成拓展性强、高可用的开放体系；
4.持续分析竞品动态及行业趋势，了解企业客户需求，定义产品差异化能力，规划产品功能迭代。
1.本科及以上学历，2年以上互联网产品工作经验，有toB产品经验优先考虑；
2.对AI行业趋势和大模型技术与应用边界有深刻的理解，对AI产品有热情；
3.具备较强的用户思维、产品体验敏感度和出色的团队协作与沟通能力；
4.善于系统化思考，对行业有深入的洞察、清晰的业务逻辑和产品判断。"
魔方高级 AIGC产品经理（大模型方向）,AI,深圳,2026年07月02日,https://careers.tencent.com/jobdesc.html?postId=2071610936929730560&language=zh-cn,"1.负责大模型研发项目的目标对齐、计划拟定、过程管理、风险控制；与算法、产品、工程、数据等多个团队深度合作，确保目标得到精准理解并高效实现；
2.成为产品设计和技术链路的桥接，负责需求撰写、拆解与优先级管理，输出清晰的PRD/技术规格，推动产品技术方案实施；
3.搭建数据管线的采集、标注、清洗、蒸馏等质量评估流程与机制，确保模型团队开发顺利；
4.对大模型产品进行评估体系的搭建和执行，能够从模型效果、任务完成度、稳定性等维度设计评估方法，推动产品持续迭代。
1.年以上产品经理经验，有 AI / 大模型产品的完整落地经历；
2.熟悉大模型（LLM/多模态）技术原理，能与算法团队进行实质性技术讨论；
3.具备扎实的项目管理能力（版本管理、风险管理、资源协调），有 PO/PM 双重角色经验者优先；
4.优秀的沟通能力和抗压能力。"
腾讯云-异构计算产品经理-北京/深圳,AI,深圳,2026年07月02日,https://careers.tencent.com/jobdesc.html?postId=1902211071872155648&language=zh-cn,"1.负责面向AI推理场景的异构计算产品定义和规划，制定AI推理场景下的模型调优和业务部署应用平台规划，助力业务推理效率提升；
2.负责高性能训练集群产品规划工作，提升大规模AI分布式训练场景的平台加速、易用性和可观测性等产品能力；
3.持续跟踪人工智能市场发展及行业技术趋势，制定产品的长期规划；
4.指导或协助客户解决AI业务使用异构计算产品遇到的各种问题，发掘客户使用产品的潜力，输出产品解决方案。
1.本科以上学历，计算机、人工智能、数学等相关专业；
2.5年以上B端产品经理经验，有AI项目及云计算领域经验者优先；
3.熟悉数据中心GPU产品，对AI框架（Pytorch, TensorFlow等）有基本了解或使用经验，了解各类组件和库在推荐系统/CV/NLP/ASR等应用场景中的使用特点和优劣，能指导客户完成业务部署，初步分析性能瓶颈，解决各种业务层面的问题；
4.有云厂商AI产品经理经验者优先；
5.有一定的管理能力，具备丰富的产品规划和设计经验，对AI技术及行业有前瞻性战略思考；
6.清晰的逻辑分析和表达能力，乐观积极，具有较强的责任心和执行力。"
智能体-策划产品经理-CodeBuddy/WorkBuddy,AI、Agent,深圳,2026年07月02日,https://careers.tencent.com/jobdesc.html?postId=1949322741660385280&language=zh-cn,"1.负责CodeBuddy IDE产品的整体规划与战略制定，明确AI功能迭代方向；
2.持续跟踪AI开发者工具竞品的动态，为产品决策提供有力依据，同时精准提炼垂直行业的核心痛点，如合规代码生成等；
3.主导产品的全生命周期管理，负责编写需求文档（PRD），清晰定义AI功能的交互逻辑；
4.积极推动腾讯云生态与CodeBuddy IDE的深度集成，包括CloudBase部署、微信小程序兼容等方面，设计有效的技术解决方案；
5.构建完善的产品指标体系，如代码生成准确率、任务耗时等，通过漏斗分析精准定位用户体验断点；
6.备注：base地可选深圳/北京/上海。
1.本科及以上学历，计算机科学、AI或产品设计相关专业优先，熟悉AI开发生态，包括大模型技术栈、Agentic Workflow等，以及主流IDE工具链；
2.具备3年以上AI/开发者工具产品策划经验，有主导代码生成、低代码平台或智能助手类产品的成功案例，熟悉GitHub、VS Code生态以及企业级服务落地的相关要求，如金融、医疗行业的合规需求；
3.拥有敏锐的技术趋势洞察力，能够及时捕捉如L5级自组织AI团队等技术发展趋势，熟练运用用户研究方法，如焦点小组、Kano模型等，精准转化开发者需求为产品特性；
4.具备高效的跨职能协同能力，能够与技术（算法/工程）、市场（GTM策略）、销售（企业客户拓展）等团队进行良好的沟通与协作，推动资源整合与策略的有效落地；
5.熟练使用产品管理工具，如Jira、Confluence等，以及数据分析平台，如QuickSight、Tableau等，英语读写流利，具备较强的抗压能力和创新意识。"
腾讯会议-增长产品经理,AI,深圳,2026年07月01日,https://careers.tencent.com/jobdesc.html?postId=2039624806697168896&language=zh-cn,"1.负责 AI 通讯产品的用户规模增长，探索和落地AI时代新的KOL/KOC、新流量场（社区 / 社群等）、新增长玩法，获得用户规模与口碑；
2.负责跨团队跨产品的增长合作，协同上下游产品共同打造更符合AI时代需求的场景，提升用户规模。
1.本科及以上学历，3年互联网产品用户增长经验，有SaaS或AI产品增长经验优先；
2.熟悉用户增长方法论，对用户需求和数据敏感，具备一定策划思维- 有较强的目标感和推动力，能跨团队推进项目落地、获取增长结果；
3.有好奇心、动手能力强。"
营销与交易产品部-云Mall 高级产品经理（电商交易平台方向）,AI、Agent,深圳,2026年06月29日,https://careers.tencent.com/jobdesc.html?postId=2043480582519947264&language=zh-cn,"1.负责云Mall产品线的整体产品规划，包括版本路线图、优先级决策，从电商交易全链路（商品发现→决策转化→交易履约→售后服务）出发定义产品核心能力和差异化打法；
2.主导交易核心模块的产品架构设计，包括商品管理、订单管理、结算引擎、库存管理、营销活动、售后服务等，设计可复用的产品化底座，支撑私有化部署与SaaS双模式交付；
3.从AI原生视角重新定义交易平台的产品形态，思考当AI Agent成为交易参与者时，交易平台的产品架构、交互模式、数据开放方式需要发生怎样的根本性变化，而非在现有产品上叠加AI功能；
4.前瞻性规划面向AI Agent时代的交易基建，定义交易平台如何适配""人+Agent""混合交易场景——商品如何被机器理解、交易流程如何被协议化调用、履约能力如何对外开放；
5.深度洞察品牌客户需求，区分大品牌与中腰部客户的差异化诉求，将客户需求转化为可落地的产品方案；
6.持续跟踪行业趋势与竞品动态（如业内头部标杆产品的AI化演进，AI Agent/MCP等新范式对电商交易场的重塑），转化为产品策略输入。
1.5年以上电商交易平台/电商SaaS产品经验，对交易全链路（商品、订单、库存、结算、营销、售后）有系统性理解，做过或深度参与过电商建站平台/交易平台型产品（如同类电商SaaS/PaaS）；
2.深刻理解交易场的核心指标和优化逻辑，熟悉转化漏斗、加购率、结算转化率、客单价、复购率等关键指标，有实际的交易转化率优化经验；
3.有大客户/品牌客户的产品服务经验，理解大品牌的定制化、数据安全、私有化部署需求，能在产品化和项目化之间找到平衡；
4.具备AI原生的产品思维：能跳出""在现有电商产品上加AI功能""的惯性，从交易形态变革的角度思考产品——当交易的发起者从人变成Agent，产品该长什么样；
5.对AI Agent时代的电商变革有独立思考，理解AI Agent、MCP协议、自然语言交互等新范式对电商交易场的潜在冲击，能提出面向未来的产品架构储备方案；
6.务实且有前瞻性，能把在产品基础优化的过程中，同时保持对AI和行业趋势的敏感度，为产品下一个阶段做准备。"
腾讯安全-AI代码安全产品经理,AI,深圳,2026年06月29日,https://careers.tencent.com/jobdesc.html?postId=2070679023687745536&language=zh-cn,"1.负责 CodeBuddy Security（企业级AI代码安全扫描产品）的产品规划与路线图制定，对标业界领先产品，构建差异化竞争力；
2.主导产品功能设计与迭代，将大模型能力与 SAST 代码安全技术深度融合，设计高准确率、低误报的智能化代码安全检测与自动修复方案；
3.持续跟踪AI代码安全领域的行业趋势与竞品动态，深入研究大模型在漏洞检测、安全审计等场景的前沿应用，输出竞品分析报告为产品演进提供决策依据；
4.深入调研企业客户安全需求与开发流程，确保安全检测能力无缝融入 IDE、CI/CD、代码评审等开发者日常工作流，做到安全能力无感植入、风险预警精准触达；
5.建立产品效果度量体系（漏洞检出率、误报率、修复采纳率等），配合GTM团队推动产品商业化落地与客户拓展。
1.本科及以上学历，计算机科学、信息安全、软件工程等相关专业，3年以上产品经理工作经验；
2.熟悉软件安全开发生命周期（SSDLC），了解常见漏洞类型（OWASP Top 10、CWE）及代码安全检测技术（SAST/SCA/DAST）；
3.熟悉主流编程语言（Java/Python/Go/JavaScript等）及开发框架，理解CI/CD流水线、代码托管平台（GitLab/GitHub）的工作机制；
4.了解大语言模型（LLM）的基本原理与应用范式，对AI在安全领域的应用有独立思考；
5.具备优秀的需求分析、产品设计和文档撰写能力，能独立完成PRD、产品原型和路线图规划；
6.具备出色的跨团队沟通协调能力与严密的逻辑思维，能在复杂技术环境中推动多方共识。"
